id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
HgKLWPsz,False,2017-08-21 21:13:20,2017-08-21 21:13:20,39,mate,white,20+60,daniel_likes_chess,1381,anaissac,1272,1. e3 e6 2. d4 d6 3. Bd3 c6 4. Nf3 Be7 5. Nc3 Nf6 6. Bd2 Bd7 7. Qe2 c5 8. dxc5 dxc5 9. O-O b6 10. Rfe1 Bc6 11. e4 O-O 12. e5 Nd5 13. Nxd5 Qxd5 14. Bc4 Qd7 15. Rad1 Qb7 16. Bg5 Re8 17. Bxe7 Rxe7 18. Rd8+ Re8 19. Red1 Bd5 20. Rxe8#,A00,Van't Kruijs Opening,1
Vf5fKWzI,False,2017-08-21 21:13:20,2017-08-21 21:13:20,38,resign,black,20+60,daniel_likes_chess,1381,subham777,1867,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be3 Qxb2 7. Nbd2 cxd4 8. cxd4 Nb4 9. Rb1 Qxa2 10. Qb3 Qxb3 11. Nxb3 Nc2+ 12. Kd1 Nxe3+ 13. fxe3 Ne7 14. Nc5 Nf5 15. e4 dxe4 16. Nxe4 Ne3+ 17. Ke2 Nxf1 18. Rhxf1 b6 19. Ned2 Ba6+,C02,French Defense: Advance Variation |  Paulsen Attack,9
HRti5mKv,False,2017-08-21 21:13:20,2017-08-21 21:13:20,60,resign,black,5+40,daniel_likes_chess,1381,roman12342005,1936,1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. Qe2+ Be7 5. Nc3 Nf6 6. d4 O-O 7. g4 Bxg4 8. Bg2 Nbd7 9. O-O c6 10. h3 Bh5 11. Bf4 Re8 12. Rfe1 Bd6 13. Be3 Nb6 14. Ng5 h6 15. Nf3 Nc4 16. b3 Nxe3 17. fxe3 Bf4 18. Nd1 Nd7 19. Qd2 Bd6 20. c4 dxc4 21. bxc4 a5 22. a4 Bb4 23. Nc3 Qc7 24. Rad1 Bxc3 25. Qxc3 Qg3 26. e4 Re6 27. d5 Rf6 28. Re3 Nc5 29. Ra1 Rg6 30. Ra2 Nxe4,C00,French Defense: Knight Variation,3
2fEjSei6,False,2017-08-21 18:26:40,2017-08-21 18:26:40,31,resign,black,8+0,daniel_likes_chess,1381,alkhan,1607,1. e4 e6 2. Qh5 g6 3. Qe5 Nf6 4. d4 d6 5. Qb5+ Bd7 6. Qxb7 Bc6 7. Qb3 Nxe4 8. Qe3 Nd7 9. f3 Nef6 10. Bd3 Bg7 11. Qf2 Nh5 12. g4 Nf4 13. Qg3 Nxd3+ 14. cxd3 Bxd4 15. Nc3 Nc5 16. Be3,C00,French Defense #2,2
u7i6dOaJ,False,2017-08-30 10:46:40,2017-08-30 13:33:20,31,mate,white,15+15,shivangithegenius,1094,sureka_akshat,1141,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5 5. O-O O-O 6. d3 Ne8 7. Bg5 Nf6 8. Nd5 h6 9. Nxf6+ gxf6 10. Bxh6 Re8 11. Ne1 d6 12. Qh5 Re7 13. Nf3 Be6 14. Bxe6 Rxe6 15. Qg4+ Kh8 16. Qg7#,C50,Four Knights Game: Italian Variation,8
guanvMR5,False,2017-08-30 10:46:40,2017-08-30 10:46:40,43,resign,black,15+15,sureka_akshat,1141,shivangithegenius,1094,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Qe7 5. O-O Nxe4 6. Nxe4 h6 7. Re1 Qh4 8. g3 Qd8 9. Nec3 Bc5 10. Kh1 O-O 11. f4 d6 12. fxe5 dxe5 13. Rf1 Qd7 14. Nd5 b6 15. Qh5 Nd8 16. g4 Bb7 17. g5 Bxd5+ 18. Bxd5 Qxd5+ 19. Rf3 hxg5 20. Qxg5 Qxf3+ 21. Qg2 Qd1+ 22. Qf1,C57,Italian Game: Two Knights Defense |  Knight Attack,7
PmpkWkmm,False,2017-08-30 10:46:40,2017-08-30 10:46:40,52,resign,black,15+15,shivangithegenius,1094,sureka_akshat,1141,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5 5. O-O O-O 6. Ne1 d6 7. d3 Ne8 8. Qf3 Nd4 9. Qg3 Bb4 10. Bh6 g6 11. Bxf8 Bxc3 12. Qe3 Kxf8 13. bxc3 Nc6 14. Qf3 Nf6 15. Rd1 Bg4 16. Qg3 Bxd1 17. h3 Be2 18. Nf3 Nh5 19. Qg4 Bxf1 20. Kxf1 Nf6 21. Ng5 Nxg4 22. Nxf7 Nh2+ 23. Kg1 Qh4 24. Kxh2 Qxf2 25. Be6 Nd8 26. Nxd8 Rxd8,C50,Four Knights Game: Italian Variation,8
EwaK0IsE,False,2017-08-29 12:33:20,2017-08-29 12:33:20,66,mate,black,15+16,sureka_akshat,1141,shivangithegenius,1094,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5 5. O-O O-O 6. Ne1 Ne8 7. Qf3 Qg5 8. d4 Qg6 9. dxc5 Nd4 10. Qd1 d6 11. g3 Bh3 12. Nf3 Bxf1 13. Qxf1 Nxf3+ 14. Kg2 Nh4+ 15. Kh1 Nf3 16. Nd5 Qe6 17. Nxc7 Qc8 18. Nxa8 Qxa8 19. cxd6 Nxd6 20. Be2 Nd4 21. Bd3 Qc8 22. c3 Ne6 23. Qe1 Nc4 24. Bxc4 Qxc4 25. b3 Qc6 26. Ba3 Rd8 27. Be7 Rd7 28. Ba3 Ng5 29. Qd2 Rxd2 30. Kg2 Qxe4+ 31. Kf1 Qe2+ 32. Kg2 Qxf2+ 33. Kh1 Qxh2#,C50,Four Knights Game: Italian Variation,8
yrSDozT3,False,2017-08-29 12:33:20,2017-08-29 12:33:20,101,resign,black,15+15,shivangithegenius,1094,slam_ment,1300,1. e4 e5 2. Nf3 d6 3. Bc4 Be6 4. d3 Bxc4 5. dxc4 c5 6. O-O h6 7. Nc3 Nf6 8. Nd5 Nxe4 9. Re1 Nf6 10. Nxf6+ Qxf6 11. Qd5 Nd7 12. Qxb7 Rb8 13. Qxa7 Be7 14. Bd2 Qf5 15. c3 Qc2 16. Rab1 O-O 17. Rec1 Qd3 18. b4 Rfd8 19. bxc5 dxc5 20. Rxb8 Rxb8 21. Rd1 Rb1 22. Qa8+ Bf8 23. Qa4 Rxd1+ 24. Qxd1 e4 25. Ne1 Qd6 26. h3 Qe5 27. a4 Bd6 28. f4 Qf5 29. Be3 Bxf4 30. Bxf4 Qxf4 31. Qxd7 Qe3+ 32. Kh2 Qxe1 33. Qe8+ Kh7 34. Qxf7 e3 35. Qf5+ Kg8 36. Qd5+ Kh7 37. Qxc5 e2 38. Qf5+ Kg8 39. Qe6+ Kh7 40. Qe4+ Kg8 41. a5 Qd1 42. Qa8+ Kh7 43. Qe4+ Kg8 44. Qd5+ Qxd5 45. cxd5 e1=Q 46. a6 Qa1 47. d6 Qxa6 48. d7 Qa8 49. c4 Qd8 50. c5 Qxd7 51. c6,C41,Philidor Defense #3,5
x31mXlvc,False,2017-08-26 15:06:40,2017-08-26 15:06:40,25,resign,white,11+0,g-ios,1500,shivangithegenius,1094,1. d4 d5 2. h3 Nc6 3. Nf3 Nf6 4. Bg5 h6 5. Bxf6 exf6 6. e3 Bb4+ 7. c3 Bd6 8. Bb5 Bd7 9. O-O a6 10. Ba4 b5 11. Bb3 Na5 12. Bxd5 Nc4 13. Bxa8,D00,Queen's Pawn Game,2
oQklnWWp,False,2017-08-17 06:06:40,2017-08-17 06:06:40,14,resign,black,15+15,shivangithegenius,1094,lex_v1,1676,1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 4. O-O Bc5 5. d3 Nf6 6. Nc3 Ng4 7. h3 Nxf2,C55,Italian Game: Anti-Fried Liver Defense,6
QFCZwY1f,False,2017-08-17 06:06:40,2017-08-17 06:06:40,3,resign,white,30+60,shivangithegenius,1094,themannichreaction,1068,1. d4 e6 2. Nc3,A40,Horwitz Defense,2
5cgBygpI,False,2017-08-17 06:06:40,2017-08-17 06:06:40,17,resign,white,15+5,storm28rus,1500,shivangithegenius,1094,1. e4 c5 2. Bc4 Nf6 3. Nc3 d6 4. Nf3 g6 5. Ng5 e6 6. d3 Bg7 7. O-O Bh6 8. Nxe6 fxe6 9. Bxh6,B20,Sicilian Defense: Bowdler Attack,3
UhXXBOMY,True,2017-08-17 06:06:40,2017-08-17 06:06:40,36,resign,white,10+0,robotsmoke,1307,shivangithegenius,1106,1. c4 Nc6 2. Nc3 e5 3. g3 Bc5 4. Bg2 Nge7 5. e3 b6 6. a3 Bb7 7. b4 Bd6 8. Nb5 O-O 9. Nxd6 cxd6 10. Ne2 Nf5 11. Nc3 d5 12. Nxd5 Nce7 13. Nxe7+ Qxe7 14. Bxb7 Qe8 15. O-O Rb8 16. Bg2 Rc8 17. d3 e4 18. Bxe4 Nxe3,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
mCij4hBq,True,2017-08-16 05:06:40,2017-08-16 05:06:40,13,resign,black,10+0,shivangithegenius,1113,ivangonzalez123,1423,1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qa4 e5 5. Be3 Nf6 6. Nf3 h6 7. Nc3,B21,Sicilian Defense: Smith-Morra Gambit #2,3
ifUMWtVj,True,2017-08-15 06:53:20,2017-08-15 06:53:20,69,mate,white,10+10,shivangithegenius,1078,sureka_akshat,1219,1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 Be7 6. Bb5+ c6 7. Bd3 Bxd3 8. Qxd3 O-O 9. Bg5 Ng4 10. Bxe7 Qxe7 11. O-O Qg5 12. h3 Qf6 13. hxg4 Qh6 14. Na4 b5 15. Nc5 Kh8 16. Nb7 g6 17. Nd6 Na6 18. Ne5 Kg8 19. Ndxf7 Rxf7 20. Nxf7 Kxf7 21. f4 g5 22. fxg5+ Kg7 23. gxh6+ Kxh6 24. Rf6+ Kg7 25. g5 h6 26. Qg6+ Kh8 27. Qxh6+ Kg8 28. Rxe6 Kf7 29. Qf6+ Kg8 30. Re8+ Rxe8 31. Qg6+ Kf8 32. Qh6+ Kg8 33. g6 Nb4 34. Rf1 Nxc2 35. Qh7#,D01,Queen's Pawn Game: Chigorin Variation,4
Wf0zuLQQ,True,2017-08-15 06:53:20,2017-08-15 06:53:20,43,resign,white,10+10,gmcarlsen403,1825,shivangithegenius,1079,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. c3 dxc3 6. Bxf7+ Kxf7 7. Qd5+ Ke8 8. Qxc5 Qe7 9. Qxe7+ Ncxe7 10. Nxc3 d6 11. O-O Bg4 12. Nd4 Nf6 13. f3 Bh5 14. Bg5 h6 15. Bxf6 gxf6 16. Ne6 Bf7 17. Nxc7+ Kd7 18. Nxa8 Rxa8 19. Rfd1 Bc4 20. b3 Ba6 21. Nd5 Nxd5 22. Rxd5,C45,Scotch Game: Haxo Gambit,8
srz9QfSN,True,2017-08-15 06:53:20,2017-08-15 06:53:20,54,mate,black,10+10,mannat1,1328,shivangithegenius,1038,1. d4 d5 2. Nc3 Nf6 3. Nf3 Nc6 4. e3 Bf5 5. h4 e6 6. g3 Bb4 7. a3 Bxc3+ 8. bxc3 Ne4 9. Rh2 Nxc3 10. Qd2 Ne4 11. Qe2 Nc3 12. Qd2 Ne4 13. Qd3 Ng5 14. Qb5 Nxf3+ 15. Kd1 Nxh2 16. Bd3 Bg4+ 17. Kd2 Nf3+ 18. Kc3 a6 19. Qxb7 Qb8 20. Qxc6+ Kd8 21. Bxa6 e5 22. Bb5 exd4+ 23. Kb3 dxe3 24. Qd7+ Bxd7 25. Kb4 Qxb5+ 26. Kc3 Qc4+ 27. Kb2 Rb8#,D01,Queen's Pawn Game: Chigorin Variation,4
NS6ccssb,True,2017-08-15 06:53:20,2017-08-15 06:53:20,53,resign,black,10+10,shivangithegenius,1056,biyanivedant01,1156,1. d4 d5 2. c4 c6 3. e3 dxc4 4. Bxc4 Nf6 5. Nc3 e6 6. e4 e5 7. d5 cxd5 8. exd5 Bd6 9. Bg5 O-O 10. Bxf6 Qxf6 11. Nf3 Bc5 12. O-O Qg6 13. Nxe5 Qg5 14. Nf3 Qh6 15. Nb5 Na6 16. d6 Rd8 17. Qd5 Bxd6 18. Qxf7+ Kh8 19. Nxd6 Qxd6 20. Rfd1 Qf8 21. Rxd8 Qxd8 22. h3 Bf5 23. Qxf5 Qf8 24. Qd5 Nc7 25. Qxb7 Qb8 26. Qd5 Nxd5 27. Bxd5,D10,Slav Defense,4
M3vpf2Ki,True,2017-08-15 06:53:20,2017-08-15 06:53:20,66,mate,black,10+10,shivangithegenius,1077,chinmaysharma,1148,1. d4 d5 2. c4 Nf6 3. Nc3 Nc6 4. Nf3 e6 5. e3 Bd6 6. Bd3 Ne4 7. Bxe4 dxe4 8. Ne5 f5 9. Nxc6 bxc6 10. Qh5+ g6 11. Qd1 O-O 12. O-O Bb4 13. a3 Bxc3 14. bxc3 Qe7 15. h3 c5 16. d5 exd5 17. cxd5 Ba6 18. a4 Bxf1 19. Qxf1 a5 20. Ba3 Qe5 21. Qd1 f4 22. exf4 Qxf4 23. Bxc5 Rf7 24. d6 cxd6 25. Bb6 Rb8 26. Ba7 Rxa7 27. Qd5+ Kg7 28. Qd4+ Kf8 29. Qxa7 Re8 30. Qxa5 e3 31. Rf1 exf2+ 32. Rxf2 Re1+ 33. Rf1 Rxf1#,D06,Queen's Gambit Refused: Marshall Defense,4
fXhNOnOn,True,2017-08-15 06:53:20,2017-08-15 06:53:20,64,resign,black,10+10,biyanivedant01,1358,shivangithegenius,1036,1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qa4 Nf6 5. Nc3 g6 6. Nf3 Bg7 7. Bb5 O-O 8. O-O a6 9. Bg5 axb5 10. Qxa8 d5 11. Rab1 dxe4 12. Rbd1 Qa5 13. Qxa5 Nxa5 14. Nxb5 exf3 15. gxf3 Nc4 16. Na7 Nxb2 17. Rb1 Nc4 18. Rb4 Nd2 19. Rd1 Nxf3+ 20. Kf1 Nxh2+ 21. Kg1 Nf3+ 22. Kg2 Nxg5 23. Rbd4 Bh3+ 24. Kg3 Nge4+ 25. Kxh3 Nxf2+ 26. Kg2 Nxd1 27. Rxd1 Ne4 28. Rd4 Nc3 29. Rb4 Nxa2 30. Rxb7 Nc3 31. Rxe7 Nd5 32. Rc7 Nxc7,B21,Sicilian Defense: Smith-Morra Gambit #2,3
DiCTkvZH,True,2017-08-15 06:53:20,2017-08-15 06:53:20,64,mate,black,10+10,rv0209,1200,shivangithegenius,1002,1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Nxd7 5. O-O Ngf6 6. Nc3 g6 7. d3 Bg7 8. Bg5 O-O 9. Nd5 Nxd5 10. exd5 Bxb2 11. Bh6 Bg7 12. Bxg7 Kxg7 13. Ng5 Kg8 14. d4 c4 15. c3 e5 16. Re1 Qxg5 17. Qa4 Rfd8 18. Qa3 exd4 19. cxd4 Qxd5 20. Rad1 Re8 21. Re3 Rxe3 22. fxe3 b6 23. Re1 Nf6 24. Qc3 Ne4 25. Qb4 c3 26. Rc1 Rc8 27. Qa4 a5 28. Qd7 Rf8 29. Qa7 Qxa2 30. Qxb6 Qf2+ 31. Kh1 Qd2 32. Rg1 Nf2#,B52,Sicilian Defense: Canal Attack |  Main Line,6
FSkgvV2E,True,2017-08-15 06:53:20,2017-08-15 06:53:20,54,resign,white,10+10,vihaandumir,1203,shivangithegenius,1019,1. e4 c5 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qe6+ 5. Qe2 Qxe2+ 6. Bxe2 Nf6 7. O-O g6 8. d3 Bg7 9. Nb5 Na6 10. Bf4 O-O 11. d4 Bd7 12. dxc5 Bxb5 13. Bxb5 Nxc5 14. Be3 Ne6 15. Nd4 a6 16. Bd3 Nxd4 17. Bxd4 Rad8 18. Bb6 Rd6 19. Bc5 Rd7 20. Rfe1 Re8 21. c3 Nd5 22. Bc2 Rc7 23. Ba3 b5 24. Rad1 Rd7 25. c4 e6 26. cxd5 exd5 27. Rxe8+ Bf8,B27,Sicilian Defense,3
F1mRjzPr,False,2017-08-14 14:13:20,2017-08-14 14:13:20,21,resign,black,15+3,shivangithegenius,1019,shamlanaseer,1500,1. d4 d5 2. c4 dxc4 3. e4 b5 4. Na3 a6 5. Qf3 f6 6. e5 fxe5 7. Qxa8 Nd7 8. dxe5 Nxe5 9. Qf3 Qd4 10. Qh5+ g6 11. Qd1,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
Lq24M4KQ,False,2017-08-11 05:40:00,2017-08-11 05:40:00,11,resign,white,18+0,medovich,1422,shivangithegenius,975,1. e4 c5 2. Bc4 Nf6 3. d3 d6 4. Nf3 g6 5. Ng5 Bg7 6. Nxf7,B20,Sicilian Defense: Bowdler Attack,3
lHNM8cl5,True,2017-08-11 05:40:00,2017-08-11 05:40:00,19,resign,black,10+0,shivangithegenius,976,sorethea,1832,1. d4 g6 2. e4 Bg7 3. Bf4 e6 4. Bc4 Ne7 5. Nf3 h6 6. Ne5 O-O 7. Qg4 d5 8. exd5 exd5 9. Bd3 Bxg4 10. Bxg6,B06,Robatsch (Modern) Defense,4
GfeEgLV3,True,2017-08-11 05:40:00,2017-08-11 05:40:00,28,resign,white,10+0,rico21,1569,shivangithegenius,978,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Bf5 6. Bd3 Bxd3 7. Qxd3 Nc6 8. O-O Nb4 9. Qf5 Nc6 10. d5 Nxd5 11. Nxd5 e6 12. Qf4 exd5 13. Nd4 Ne7 14. Qxf7+ Kd7,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
OR6aULrW,False,2017-08-08 16:33:20,2017-08-08 16:33:20,22,resign,black,15+0,shivangithegenius,978,jojo58,1500,1. d4 Nf6 2. Nc3 d6 3. d5 g6 4. e4 Bg7 5. Nf3 O-O 6. Ng5 a6 7. Qf3 c6 8. Qg3 b5 9. Qh4 h6 10. Nf3 g5 11. Qxg5 hxg5,A45,Indian Game,2
Yg006qwa,False,2017-08-08 16:33:20,2017-08-08 16:33:20,37,resign,white,15+0,jojo58,1500,shivangithegenius,978,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. Bc4 O-O 8. f3 Nc6 9. Qd2 a6 10. O-O-O b5 11. Bb3 Na5 12. Kb1 Nxb3 13. cxb3 d5 14. Nc6 Qd7 15. exd5 Nxd5 16. Qxd5 Qf5+ 17. Qxf5 Bxf5+ 18. Ka1 Rac8 19. Nxe7+,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
G5S21pXK,False,2017-08-06 14:33:20,2017-08-06 14:33:20,34,resign,white,30+30,rajuppi,2449,shivangithegenius,978,1. c4 e5 2. Nc3 Bc5 3. g3 Nc6 4. Bg2 Nf6 5. Nf3 b6 6. Nxe5 Bb7 7. Nd3 Bd4 8. O-O Bxc3 9. dxc3 O-O 10. Nb4 Re8 11. Nxc6 Bxc6 12. Bxc6 dxc6 13. Be3 Ng4 14. Qxd8 Raxd8 15. Rad1 Nxe3 16. fxe3 Rxd1 17. Rxd1 Rxe3,A21,English Opening: King's English Variation |  Reversed Sicilian,3
R9a2DLwe,False,2017-07-10 15:20:00,2017-07-10 15:20:00,32,draw,draw,20+25,white_queen_1990,1207,shivangithegenius,978,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Bg5 Bg7 7. Bxf6 Bxf6 8. Bb5+ Bd7 9. Bxd7+ Nxd7 10. O-O Bxd4 11. Qxd4 O-O 12. f3 Qb6 13. Qxb6 Nxb6 14. Nd5 Nxd5 15. exd5 Rac8 16. c3 Rc5,B70,Sicilian Defense: Dragon Variation,10
